country_code,country_N,Immigrant_National,Emigrant_National,cosine_ratio,prop_Emigrant,prop_Immigrant,prop_National,prop_ratio
Costa Rica,8890,0.6520899835929316,0.636173758913634,1.0250186752538755,0.2692913385826772,0.25230596175478065,0.4784026996625422,0.9369256474519632
Côte d’Ivoire,5086,0.6397212490158513,0.3983619030135975,1.6058795888270856,0.2034998033818325,0.26602438065277234,0.5304758159653952,1.3072463768115943
Croatia,46901,0.6296110611500656,0.44059587520656557,1.4289989910933316,0.15319502782456665,0.08044604592652609,0.7663589262489072,0.5251217814892136
Cuba,16089,0.6707346009033137,0.6527119515650025,1.0276119493370675,0.4955559699173348,0.057181925539188265,0.4472621045434769,0.11538943935783269
Cyprus,21648,0.736357236266351,0.6022640511971942,1.2226484957928392,0.12287509238728751,0.5688285291943829,0.30829637841832963,4.629323308270677
Czechia,174116,0.7611872857938248,0.5996524716005045,1.269380719405984,0.13254956465804407,0.17883479978864664,0.6886156355533093,1.3491919060617876
Denmark,268830,0.710423109716205,0.719867165189445,0.9868808358959467,0.1628092102815906,0.2552840084811963,0.5819067812372131,1.5679948821056482
Dominican Republic,1185,0.25411501935102393,0.21970337657265204,1.156627737430301,0.3333333333333333,0.2641350210970464,0.40253164556962023,0.7924050632911392
Ecuador,11865,0.5764813374440969,0.6215333674613579,0.9275147041561498,0.22334597555836494,0.4488832701222082,0.32777075431942687,2.009811320754717
Egypt,175730,0.6896427028314448,0.9208236738186191,0.7489411083139554,0.1991179650600353,0.19375177829624993,0.6071302566437148,0.9730502129118915
El Salvador,2307,0.14543456354289305,0.22146408122727632,0.6566959424613945,0.5700043346337235,0.24100563502384048,0.18899003034243606,0.42281368821292775
Estonia,27385,0.09559590399320907,0.47429672388667554,0.2015529502498734,0.19580062077779806,0.17407339784553588,0.6301259813766661,0.8890339425587468
Ethiopia,19328,0.8919669126591049,0.7990594995076826,1.1162709575553065,0.24870653973509935,0.2250103476821192,0.5262831125827815,0.9047222800083211
Fiji,2606,0.27373369110546875,0.39282564644926693,0.6968325351965562,0.3142747505755948,0.3054489639293937,0.3802762854950115,0.9719169719169719
